label,status,latency_ms,server_processing_ms,error_kind
benign,200,2100.25,,
benign,200,33.24,,
benign,200,36.14,,
benign,200,31.91,,
benign,200,35.8,,
benign,200,38.47,,
benign,200,34.74,,
benign,200,43.01,,
benign,200,46.3,,
benign,200,43.5,,
benign,200,42.59,,
benign,200,31.63,,
benign,200,37.62,,
benign,200,39.48,,
benign,200,31.63,,
benign,200,31.18,,
benign,200,35.82,,
benign,200,32.05,,
benign,200,32.54,,
benign,200,33.7,,
benign,200,42.13,,
benign,200,29.49,,
benign,200,31.05,,
benign,200,32.0,,
benign,200,34.07,,
benign,200,31.48,,
benign,200,31.11,,
benign,200,33.69,,
benign,200,34.65,,
benign,200,32.14,,
sqli,403,243.67,,
sqli,403,247.16,,
sqli,403,264.31,,
sqli,403,272.11,,
sqli,403,279.31,,
sqli,403,257.72,,
sqli,403,237.53,,
sqli,403,246.52,,
sqli,403,238.29,,
sqli,403,234.48,,
sqli,403,240.0,,
sqli,403,242.81,,
xss,403,243.76,,
xss,403,314.65,,
xss,403,244.6,,
xss,403,254.46,,
xss,403,263.51,,
xss,403,246.9,,
xss,403,248.82,,
xss,403,259.28,,
xss,403,331.28,,
xss,403,320.54,,
xss,403,277.88,,
xss,403,263.29,,
misc,403,268.72,,
misc,403,290.02,,
misc,403,295.11,,
misc,403,326.11,,
misc,403,381.89,,
misc,403,277.95,,
misc,403,271.31,,
misc,403,244.89,,
misc,403,244.81,,
misc,403,244.76,,
misc,403,238.12,,
misc,403,246.6,,
burst,200,304.6,,
burst,200,42.2,,
burst,200,47.86,,
burst,200,45.11,,
burst,200,31.81,,
burst,200,35.43,,
burst,200,35.21,,
burst,200,33.06,,
burst,200,33.17,,
burst,200,35.96,,
burst,200,34.56,,
burst,200,33.2,,
burst,200,31.71,,
burst,200,40.7,,
burst,200,40.15,,
burst,200,31.12,,
burst,200,34.68,,
burst,200,37.44,,
burst,200,32.19,,
burst,200,34.84,,
burst,200,34.49,,
burst,200,37.42,,
burst,200,32.59,,
burst,200,32.58,,
burst,200,36.77,,
burst,200,37.67,,
burst,200,36.84,,
burst,200,40.32,,
burst,200,35.6,,
burst,200,36.08,,
burst,200,33.32,,
burst,403,24.03,,
burst,403,26.12,,
burst,403,24.94,,
burst,403,24.76,,
burst,403,26.17,,
burst,403,28.42,,
burst,403,26.79,,
burst,403,26.7,,
burst,403,29.99,,
burst,403,34.29,,
burst,403,42.4,,
burst,403,29.32,,
burst,403,25.93,,
burst,403,43.23,,
burst,403,26.12,,
burst,403,25.67,,
burst,403,27.33,,
burst,403,26.56,,
burst,403,24.11,,
burst,403,25.78,,
burst,403,24.73,,
burst,403,25.12,,
burst,403,25.99,,
burst,403,24.13,,
burst,403,33.73,,
burst,403,28.61,,
burst,403,26.21,,
burst,403,26.53,,
burst,403,25.98,,
