label,status,latency_ms,server_processing_ms,error_kind
benign,200,2072.6,,
benign,200,31.77,,
benign,200,30.62,,
benign,200,33.56,,
benign,200,30.59,,
benign,200,35.28,,
benign,200,35.93,,
benign,200,30.46,,
benign,200,33.22,,
benign,200,39.1,,
benign,200,36.69,,
benign,200,30.45,,
benign,200,29.53,,
benign,200,30.68,,
benign,200,33.75,,
benign,200,31.65,,
benign,200,33.42,,
benign,200,32.74,,
benign,200,35.99,,
benign,200,30.61,,
benign,200,31.83,,
benign,200,36.91,,
benign,200,35.51,,
benign,200,33.38,,
benign,200,31.52,,
benign,200,32.68,,
benign,200,34.0,,
benign,200,29.63,,
benign,200,31.17,,
benign,200,33.04,,
sqli,403,241.27,,
sqli,403,274.68,,
sqli,403,248.2,,
sqli,403,254.49,,
sqli,403,252.07,,
sqli,403,298.59,,
sqli,403,279.81,,
sqli,403,260.57,,
sqli,403,265.34,,
sqli,403,283.83,,
sqli,403,558.24,,
sqli,403,624.47,,
xss,403,545.78,,
xss,403,350.84,,
xss,403,413.09,,
xss,403,1154.83,,
xss,403,543.44,,
xss,403,341.45,,
xss,403,307.12,,
xss,403,241.28,,
xss,403,250.94,,
xss,403,247.24,,
xss,403,290.66,,
xss,403,249.1,,
misc,403,241.49,,
misc,403,253.26,,
misc,403,242.89,,
misc,403,252.74,,
misc,403,242.98,,
misc,403,239.49,,
misc,403,250.48,,
misc,403,235.8,,
misc,403,243.75,,
misc,403,257.01,,
misc,403,237.3,,
misc,403,245.35,,
burst,200,292.29,,
burst,200,30.27,,
burst,200,31.59,,
burst,200,41.72,,
burst,200,29.81,,
burst,200,30.55,,
burst,200,29.94,,
burst,200,35.66,,
burst,200,28.22,,
burst,200,31.14,,
burst,200,31.05,,
burst,200,32.4,,
burst,200,31.16,,
burst,200,30.84,,
burst,200,38.67,,
burst,200,31.17,,
burst,200,33.49,,
burst,200,38.45,,
burst,200,35.44,,
burst,200,38.1,,
burst,200,39.78,,
burst,200,30.52,,
burst,200,31.96,,
burst,200,56.23,,
burst,200,30.55,,
burst,200,29.99,,
burst,200,30.43,,
burst,200,38.29,,
burst,200,47.68,,
burst,200,50.43,,
burst,200,50.05,,
burst,403,24.14,,
burst,403,22.72,,
burst,403,25.34,,
burst,403,23.22,,
burst,403,23.38,,
burst,403,24.84,,
burst,403,26.66,,
burst,403,31.54,,
burst,403,25.3,,
burst,403,26.08,,
burst,403,26.05,,
burst,403,30.13,,
burst,403,25.48,,
burst,403,25.67,,
burst,403,28.5,,
burst,403,25.39,,
burst,403,24.98,,
burst,403,22.43,,
burst,403,24.24,,
burst,403,22.82,,
burst,403,24.14,,
burst,403,25.36,,
burst,403,28.99,,
burst,403,21.95,,
burst,403,24.88,,
burst,403,22.51,,
burst,403,26.08,,
burst,403,33.13,,
burst,403,31.73,,
