label,status,latency_ms,server_processing_ms,error_kind
benign,200,2092.39,,
benign,200,48.75,,
benign,200,33.54,,
benign,200,29.89,,
benign,200,38.43,,
benign,200,32.45,,
benign,200,30.89,,
benign,200,31.74,,
benign,200,34.16,,
benign,200,31.95,,
benign,200,31.56,,
benign,200,35.56,,
benign,200,34.35,,
benign,200,35.3,,
benign,200,31.69,,
benign,200,32.16,,
benign,200,34.69,,
benign,200,33.27,,
benign,200,35.35,,
benign,200,31.67,,
benign,200,32.28,,
benign,200,35.98,,
benign,200,31.25,,
benign,200,31.99,,
benign,200,30.15,,
benign,200,36.31,,
benign,200,32.19,,
benign,200,37.7,,
benign,200,51.6,,
benign,200,35.57,,
sqli,403,247.43,,
sqli,403,236.8,,
sqli,403,257.33,,
sqli,403,243.48,,
sqli,403,238.8,,
sqli,403,244.57,,
sqli,403,252.94,,
sqli,403,239.71,,
sqli,403,243.69,,
sqli,403,337.27,,
sqli,403,246.69,,
sqli,403,263.47,,
xss,403,244.74,,
xss,403,287.51,,
xss,403,308.31,,
xss,403,236.24,,
xss,403,257.47,,
xss,403,239.39,,
xss,403,262.45,,
xss,403,252.01,,
xss,403,246.55,,
xss,403,239.31,,
xss,403,237.27,,
xss,403,273.61,,
misc,403,263.09,,
misc,403,241.23,,
misc,403,309.45,,
misc,403,264.59,,
misc,403,245.21,,
misc,403,242.37,,
misc,403,266.74,,
misc,403,240.62,,
misc,403,253.95,,
misc,403,264.27,,
misc,403,250.02,,
misc,403,277.32,,
burst,200,304.01,,
burst,200,33.1,,
burst,200,38.48,,
burst,200,47.12,,
burst,200,33.99,,
burst,200,31.25,,
burst,200,31.98,,
burst,200,35.41,,
burst,200,30.69,,
burst,200,34.46,,
burst,200,30.21,,
burst,200,72.26,,
burst,200,32.36,,
burst,200,33.26,,
burst,200,34.33,,
burst,200,34.64,,
burst,200,33.87,,
burst,200,34.33,,
burst,200,32.63,,
burst,200,31.87,,
burst,200,38.05,,
burst,200,31.2,,
burst,200,31.46,,
burst,200,32.32,,
burst,200,34.03,,
burst,200,42.9,,
burst,200,32.53,,
burst,200,31.58,,
burst,200,34.42,,
burst,200,30.12,,
burst,200,29.23,,
burst,403,31.8,,
burst,403,24.95,,
burst,403,24.19,,
burst,403,24.88,,
burst,403,27.56,,
burst,403,25.64,,
burst,403,26.87,,
burst,403,26.85,,
burst,403,26.04,,
burst,403,27.05,,
burst,403,25.65,,
burst,403,27.03,,
burst,403,26.96,,
burst,403,24.6,,
burst,403,26.48,,
burst,403,29.96,,
burst,403,27.91,,
burst,403,27.87,,
burst,403,27.11,,
burst,403,24.62,,
burst,403,26.35,,
burst,403,25.49,,
burst,403,28.4,,
burst,403,25.13,,
burst,403,24.35,,
burst,403,24.28,,
burst,403,22.27,,
burst,403,24.33,,
burst,403,25.48,,
