label,status,latency_ms,server_processing_ms,error_kind
benign,200,2307.79,,
benign,200,32.47,,
benign,200,32.2,,
benign,200,41.38,,
benign,200,31.19,,
benign,200,33.3,,
benign,200,30.26,,
benign,200,36.68,,
benign,200,32.27,,
benign,200,35.48,,
benign,200,35.36,,
benign,200,35.98,,
benign,200,32.33,,
benign,200,30.9,,
benign,200,32.12,,
benign,200,36.32,,
benign,200,33.47,,
benign,200,36.94,,
benign,200,40.61,,
benign,200,34.78,,
sqli,403,245.19,,
sqli,403,243.67,,
sqli,403,241.77,,
sqli,403,278.27,,
sqli,403,240.38,,
sqli,403,248.21,,
sqli,403,245.87,,
sqli,403,249.88,,
xss,403,264.46,,
xss,403,261.97,,
xss,403,250.14,,
xss,403,240.61,,
xss,403,248.06,,
xss,403,244.78,,
xss,403,297.63,,
xss,403,253.3,,
misc,403,26.58,,
misc,403,25.42,,
misc,403,24.71,,
misc,403,28.62,,
misc,403,26.75,,
misc,403,25.67,,
misc,403,28.9,,
misc,403,25.97,,
burst,403,25.52,,
burst,403,24.58,,
burst,403,25.96,,
burst,403,25.72,,
burst,403,31.82,,
burst,403,29.67,,
burst,403,26.57,,
burst,403,25.66,,
burst,403,25.09,,
burst,403,23.14,,
burst,403,22.99,,
burst,403,28.51,,
burst,403,32.48,,
burst,403,22.75,,
burst,403,23.92,,
burst,403,25.19,,
burst,403,29.42,,
burst,403,23.84,,
burst,403,24.24,,
burst,403,25.04,,
